identifier	variety	winery	AVA	vintage	pH	titratableAcidity	ethanol	price_USD	nCases	wineID	collectionYear	sourceDomain
117	Bordeaux Blend	Chateau Ste Michelle	Columbia Valley	2016	3.78	5.8	14.9		472	IMPETUS Red Wine	2021	https://www.ste-michelle.com/chateau-ste-michelle/wine-shop/all-wine/2016-impetus-red-wine/5637166342.p
118	Cabernet Sauvignon	Chateau Ste Michelle	Horse Heaven Hills	2017	3.85	5.4	14.5			Canoe Ridge Estate Cabernet Sauvignon	2021	https://www.ste-michelle.com/chateau-ste-michelle/wine-shop/all-wine/2017-canoe-ridge-estate-cabernet-sauvignon/5637280340.p
119	Counoise	Chateau Ste Michelle	Horse Heaven Hills	2016	3.87	4.6	16.2		456	Counoise	2021	https://www.ste-michelle.com/chateau-ste-michelle/wine-shop/all-wine/2016-limited-release-counoise/5637166337.p
120	Cabernet Franc	Chateau Ste Michelle	Columbia Valley	2016	3.85	5.2	15.2		1602	Limited Release Cold Creek Cabernet Franc	2021	https://www.ste-michelle.com/chateau-ste-michelle/wine-shop/all-wine/2016-limited-release-cold-creek-cabernet-franc/5637161225.p
121	Grenache	Chateau Ste Michelle	Columbia Valley	2016	3.73	5.3	15		1092	Limited Release Grenache	2021	https://www.ste-michelle.com/chateau-ste-michelle/wine-shop/all-wine/2016-limited-release-grenache/5637161220.p
122	Cabernet Sauvignon	Chateau Ste Michelle	Columbia Valley	2016	3.81	5.5	15.5		475	Druthers CS	2021	https://www.ste-michelle.com/chateau-ste-michelle/wine-shop/all-wine/2016-limited-release-druthers-cabernet-sauvignon/5637161223.p
123	Merlot	Chateau Ste Michelle	Columbia Valley	2016	3.69	5.8	14.8		1209	The Nod Merlot	2021	https://www.ste-michelle.com/chateau-ste-michelle/wine-shop/all-wine/2016-limited-release-%22the-nod%22-Merlot/5637161226.p
124	Syrah	Chateau Ste Michelle	Yakima Valley	2016	3.89	5.4	15		523	Boreal Syrah	2021	https://www.ste-michelle.com/chateau-ste-michelle/wine-shop/all-wine/2016-limited-release-boreal-syrah/5637161247.p
125	Cabernet Sauvignon	Hence Cellars	Columbia Valley	2016	3.95	7.4	14.25	30.000	125	Columbia Valley Cabernet Sauvignon	2021	https://hencecellars.com/2016-cabernet-sauvignon-2/
126	Malbec	Hence Cellars	Walla Walla Valley	2016	3.8	7.9	14.35	30.000	125	Malbec	2021	https://hencecellars.com/2016-malbec-3/
127	Petit Verdot	Hence Cellars	Columbia Valley	2016	3.7	6.3	13.98	35.000	125	Petit Verdot	2021	https://hencecellars.com/2016-petit-verdot-3/
128	Malbec	Airfield Estates	Yakima Valley	2019	3.74	6.2	14		257	Malbec	2021	https://www.airfieldwines.com/wine-shop/detail/2019-malbec/
129	Red Blend	Airfield Estates	Yakima Valley	2019	3.67	6.4	14		269	Spitfire	2021	https://www.airfieldwines.com/wine-shop/detail/2019-spitfire/
130	Red Blend	Airfield Estates	Yakima Valley	2019	3.98	5	14.1		370	Hellcat	2021	https://www.airfieldwines.com/wine-shop/detail/2019-hellcat/
131	Cabernet Sauvignon	Airfield Estates	Yakima Valley	2018	3.81	5.9	14.2		465	Reserve Cabernet Sauvignon	2021	https://www.airfieldwines.com/wine-shop/detail/2018-reserve-cabernet-sauvignon/
132	Bordeaux Blend	Airfield Estates	Yakima Valley	2019	3.76	6	14.2			Bombshell Red	2021	https://www.airfieldwines.com/wine-shop/detail/2019-bombshell/
133	Merlot	Airfield Estates	Yakima Valley	2017	3.89	6	14.3		295	Reserve Merlot	2021	https://www.airfieldwines.com/wine-shop/detail/2017-reserve-merlot/
